,Fluvial Flood - 5 year return period _mean,rawmean,normed
0,0.0030438482761383058,17.842275347,0.00030438482761383059
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,30.2727272727,0.0
4,0.0,0.0,0.0
5,0.0,128.076923077,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.00097354211537121549,4.89802760704,9.7354211537121549e-05
9,0.0066726902156200221,9.61237746019,0.00066726902156200225
10,0.017774492502212524,0.0177744925022,0.0017774492502212525
11,0.0,0.0,0.0
12,0.0,52.5789473684,0.0
13,0.014456518671729347,43.4486110521,0.0014456518671729346
14,0.012165663497788566,0.0121656634978,0.0012165663497788566
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,71.3571428571,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0032096838249879725,149.852722168,0.00032096838249879726
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.10778670992170061,0.107786716734,0.010778670992170062
40,0.0,0.0,0.0
41,0.0015885848551988602,0.0015885848552,0.00015885848551988602
42,0.0,0.0,0.0
43,0.064348951743467012,14.4375245897,0.0064348951743467015
44,0.0,0.0,0.0
45,0.0,38.4230769231,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,111.0,0.0
51,0.0,0.0,0.0
52,0.040765050479343957,0.0407650470734,0.0040765050479343954
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,499.5,0.0
66,0.0,47.5714285714,0.0
67,0.0,210.315789474,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,333.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
